,code,category,long_description,short_description
120,00200,1.0,,Head
121,00201,1.0,,Head
122,00202,1.0,,Head
123,00203,1.0,,Head
124,00204,1.0,,Head
125,00205,1.0,,Head
126,00206,1.0,,Head
127,00207,1.0,,Head
128,00208,1.0,,Head
129,00209,1.0,,Head
130,0020T,3.0,,Various Services - Category III Codes
131,00210,1.0,,Head
132,00211,1.0,,Head
133,00212,1.0,,Head
134,00213,1.0,,Head
135,00214,1.0,,Head
136,00215,1.0,,Head
137,00216,1.0,,Head
138,00217,1.0,,Head
139,00218,1.0,,Head
140,00219,1.0,,Head
141,0021T,3.0,,Various Services - Category III Codes
142,00220,1.0,,Head
143,00221,1.0,,Head
144,00222,1.0,,Head
145,0022T,3.0,,Various Services - Category III Codes
146,0023T,3.0,,Various Services - Category III Codes
147,0024T,3.0,,Various Services - Category III Codes
148,0025T,3.0,,Various Services - Category III Codes
149,0026T,3.0,,Various Services - Category III Codes
150,0027T,3.0,,Various Services - Category III Codes
151,0028T,3.0,,Various Services - Category III Codes
152,0029T,3.0,,Various Services - Category III Codes
153,00300,1.0,,Neck
154,00301,1.0,,Neck
155,00302,1.0,,Neck
156,00303,1.0,,Neck
157,00304,1.0,,Neck
158,00305,1.0,,Neck
159,00306,1.0,,Neck
160,00307,1.0,,Neck
161,00308,1.0,,Neck
162,00309,1.0,,Neck
163,0030T,3.0,,Various Services - Category III Codes
164,00310,1.0,,Neck
165,00311,1.0,,Neck
166,00312,1.0,,Neck
167,00313,1.0,,Neck
168,00314,1.0,,Neck
169,00315,1.0,,Neck
170,00316,1.0,,Neck
171,00317,1.0,,Neck
172,00318,1.0,,Neck
173,00319,1.0,,Neck
174,0031T,3.0,,Various Services - Category III Codes
175,00320,1.0,,Neck
176,00321,1.0,,Neck
177,00322,1.0,,Neck
178,00323,1.0,,Neck
179,00324,1.0,,Neck
180,00325,1.0,,Neck
181,00326,1.0,,Neck
182,00327,1.0,,Neck
183,00328,1.0,,Neck
184,00329,1.0,,Neck
185,0032T,3.0,,Various Services - Category III Codes
186,00330,1.0,,Neck
187,00331,1.0,,Neck
188,00332,1.0,,Neck
189,00333,1.0,,Neck
190,00334,1.0,,Neck
191,00335,1.0,,Neck
192,00336,1.0,,Neck
193,00337,1.0,,Neck
194,00338,1.0,,Neck
195,00339,1.0,,Neck
196,0033T,3.0,,Various Services - Category III Codes
197,00340,1.0,,Neck
198,00341,1.0,,Neck
199,00342,1.0,,Neck
200,00343,1.0,,Neck
201,00344,1.0,,Neck
202,00345,1.0,,Neck
203,00346,1.0,,Neck
204,00347,1.0,,Neck
205,00348,1.0,,Neck
206,00349,1.0,,Neck
207,0034T,3.0,,Various Services - Category III Codes
208,00350,1.0,,Neck
209,00351,1.0,,Neck
210,00352,1.0,,Neck
211,0035T,3.0,,Various Services - Category III Codes
212,0036T,3.0,,Various Services - Category III Codes
213,0037T,3.0,,Various Services - Category III Codes
214,0038T,3.0,,Various Services - Category III Codes
215,0039T,3.0,,Various Services - Category III Codes
216,00400,1.0,,Thorax
217,00401,1.0,,Thorax
218,00402,1.0,,Thorax
219,00403,1.0,,Thorax
220,00404,1.0,,Thorax
221,00405,1.0,,Thorax
222,00406,1.0,,Thorax
223,00407,1.0,,Thorax
224,00408,1.0,,Thorax
225,00409,1.0,,Thorax
226,0040T,3.0,,Various Services - Category III Codes
227,00410,1.0,,Thorax
228,00411,1.0,,Thorax
229,00412,1.0,,Thorax
230,00413,1.0,,Thorax
231,00414,1.0,,Thorax
232,00415,1.0,,Thorax
233,00416,1.0,,Thorax
234,00417,1.0,,Thorax
235,00418,1.0,,Thorax
236,00419,1.0,,Thorax
237,0041T,3.0,,Various Services - Category III Codes
238,00420,1.0,,Thorax
239,00421,1.0,,Thorax
240,00422,1.0,,Thorax
241,00423,1.0,,Thorax
242,00424,1.0,,Thorax
243,00425,1.0,,Thorax
244,00426,1.0,,Thorax
245,00427,1.0,,Thorax
246,00428,1.0,,Thorax
247,00429,1.0,,Thorax
248,0042T,3.0,,Various Services - Category III Codes
249,00430,1.0,,Thorax
250,00431,1.0,,Thorax
251,00432,1.0,,Thorax
252,00433,1.0,,Thorax
253,00434,1.0,,Thorax
254,00435,1.0,,Thorax
255,00436,1.0,,Thorax
256,00437,1.0,,Thorax
257,00438,1.0,,Thorax
258,00439,1.0,,Thorax
259,0043T,3.0,,Various Services - Category III Codes
260,00440,1.0,,Thorax
261,00441,1.0,,Thorax
262,00442,1.0,,Thorax
263,00443,1.0,,Thorax
264,00444,1.0,,Thorax
265,00445,1.0,,Thorax
266,00446,1.0,,Thorax
267,00447,1.0,,Thorax
268,00448,1.0,,Thorax
269,00449,1.0,,Thorax
270,0044T,3.0,,Various Services - Category III Codes
271,00450,1.0,,Thorax
272,00451,1.0,,Thorax
273,00452,1.0,,Thorax
274,00453,1.0,,Thorax
275,00454,1.0,,Thorax
276,00455,1.0,,Thorax
277,00456,1.0,,Thorax
278,00457,1.0,,Thorax
279,00458,1.0,,Thorax
280,00459,1.0,,Thorax
281,0045T,3.0,,Various Services - Category III Codes
282,00460,1.0,,Thorax
283,00461,1.0,,Thorax
284,00462,1.0,,Thorax
285,00463,1.0,,Thorax
286,00464,1.0,,Thorax
287,00465,1.0,,Thorax
288,00466,1.0,,Thorax
289,00467,1.0,,Thorax
290,00468,1.0,,Thorax
291,00469,1.0,,Thorax
292,0046T,3.0,,Various Services - Category III Codes
293,00470,1.0,,Thorax
294,00471,1.0,,Thorax
295,00472,1.0,,Thorax
296,00473,1.0,,Thorax
297,00474,1.0,,Thorax
298,0047T,3.0,,Various Services - Category III Codes
299,0048T,3.0,,Various Services - Category III Codes
300,0049T,3.0,,Various Services - Category III Codes
301,00500,1.0,,Intrathoracic
302,00501,1.0,,Intrathoracic
303,00502,1.0,,Intrathoracic
304,00503,1.0,,Intrathoracic
305,00504,1.0,,Intrathoracic
306,00505,1.0,,Intrathoracic
307,00506,1.0,,Intrathoracic
308,00507,1.0,,Intrathoracic
309,00508,1.0,,Intrathoracic
310,00509,1.0,,Intrathoracic
311,0050T,3.0,,Various Services - Category III Codes
312,00510,1.0,,Intrathoracic
313,00511,1.0,,Intrathoracic
314,00512,1.0,,Intrathoracic
315,00513,1.0,,Intrathoracic
316,00514,1.0,,Intrathoracic
317,00515,1.0,,Intrathoracic
318,00516,1.0,,Intrathoracic
319,00517,1.0,,Intrathoracic
320,00518,1.0,,Intrathoracic
321,00519,1.0,,Intrathoracic
322,0051T,3.0,,Various Services - Category III Codes
323,00520,1.0,,Intrathoracic
324,00521,1.0,,Intrathoracic
325,00522,1.0,,Intrathoracic
326,00523,1.0,,Intrathoracic
327,00524,1.0,,Intrathoracic
328,00525,1.0,,Intrathoracic
329,00526,1.0,,Intrathoracic
330,00527,1.0,,Intrathoracic
331,00528,1.0,,Intrathoracic
332,00529,1.0,,Intrathoracic
333,0052T,3.0,,Various Services - Category III Codes
334,00530,1.0,,Intrathoracic
335,00531,1.0,,Intrathoracic
336,00532,1.0,,Intrathoracic
337,00533,1.0,,Intrathoracic
338,00534,1.0,,Intrathoracic
339,00535,1.0,,Intrathoracic
340,00536,1.0,,Intrathoracic
341,00537,1.0,,Intrathoracic
342,00538,1.0,,Intrathoracic
343,00539,1.0,,Intrathoracic
344,0053T,3.0,,Various Services - Category III Codes
345,00540,1.0,,Intrathoracic
346,00541,1.0,,Intrathoracic
347,00542,1.0,,Intrathoracic
348,00543,1.0,,Intrathoracic
349,00544,1.0,,Intrathoracic
350,00545,1.0,,Intrathoracic
351,00546,1.0,,Intrathoracic
352,00547,1.0,,Intrathoracic
353,00548,1.0,,Intrathoracic
354,00549,1.0,,Intrathoracic
355,0054T,3.0,,Various Services - Category III Codes
356,00550,1.0,,Intrathoracic
357,00551,1.0,,Intrathoracic
358,00552,1.0,,Intrathoracic
359,00553,1.0,,Intrathoracic
360,00554,1.0,,Intrathoracic
361,00555,1.0,,Intrathoracic
362,00556,1.0,,Intrathoracic
363,00557,1.0,,Intrathoracic
364,00558,1.0,,Intrathoracic
365,00559,1.0,,Intrathoracic
366,0055T,3.0,,Various Services - Category III Codes
367,00560,1.0,,Intrathoracic
368,00561,1.0,,Intrathoracic
369,00562,1.0,,Intrathoracic
370,00563,1.0,,Intrathoracic
371,00564,1.0,,Intrathoracic
372,00565,1.0,,Intrathoracic
373,00566,1.0,,Intrathoracic
374,00567,1.0,,Intrathoracic
375,00568,1.0,,Intrathoracic
376,00569,1.0,,Intrathoracic
377,0056T,3.0,,Various Services - Category III Codes
378,00570,1.0,,Intrathoracic
379,00571,1.0,,Intrathoracic
380,00572,1.0,,Intrathoracic
381,00573,1.0,,Intrathoracic
382,00574,1.0,,Intrathoracic
383,00575,1.0,,Intrathoracic
384,00576,1.0,,Intrathoracic
385,00577,1.0,,Intrathoracic
386,00578,1.0,,Intrathoracic
387,00579,1.0,,Intrathoracic
388,0057T,3.0,,Various Services - Category III Codes
389,00580,1.0,,Intrathoracic
390,0058T,3.0,,Various Services - Category III Codes
391,0059T,3.0,,Various Services - Category III Codes
392,00600,1.0,,Spine and spinal cord
393,00601,1.0,,Spine and spinal cord
394,00602,1.0,,Spine and spinal cord
395,00603,1.0,,Spine and spinal cord
396,00604,1.0,,Spine and spinal cord
397,00605,1.0,,Spine and spinal cord
398,00606,1.0,,Spine and spinal cord
399,00607,1.0,,Spine and spinal cord
400,00608,1.0,,Spine and spinal cord
401,00609,1.0,,Spine and spinal cord
402,0060T,3.0,,Various Services - Category III Codes
403,00610,1.0,,Spine and spinal cord
404,00611,1.0,,Spine and spinal cord
405,00612,1.0,,Spine and spinal cord
406,00613,1.0,,Spine and spinal cord
407,00614,1.0,,Spine and spinal cord
408,00615,1.0,,Spine and spinal cord
409,00616,1.0,,Spine and spinal cord
410,00617,1.0,,Spine and spinal cord
411,00618,1.0,,Spine and spinal cord
412,00619,1.0,,Spine and spinal cord
413,0061T,3.0,,Various Services - Category III Codes
414,00620,1.0,,Spine and spinal cord
415,00621,1.0,,Spine and spinal cord
416,00622,1.0,,Spine and spinal cord
417,00623,1.0,,Spine and spinal cord
418,00624,1.0,,Spine and spinal cord
419,00625,1.0,,Spine and spinal cord
420,00626,1.0,,Spine and spinal cord
421,00627,1.0,,Spine and spinal cord
422,00628,1.0,,Spine and spinal cord
423,00629,1.0,,Spine and spinal cord
424,0062T,3.0,,Various Services - Category III Codes
425,00630,1.0,,Spine and spinal cord
426,00631,1.0,,Spine and spinal cord
427,00632,1.0,,Spine and spinal cord
428,00633,1.0,,Spine and spinal cord
429,00634,1.0,,Spine and spinal cord
430,00635,1.0,,Spine and spinal cord
431,00636,1.0,,Spine and spinal cord
432,00637,1.0,,Spine and spinal cord
433,00638,1.0,,Spine and spinal cord
434,00639,1.0,,Spine and spinal cord
435,0063T,3.0,,Various Services - Category III Codes
436,00640,1.0,,Spine and spinal cord
437,00641,1.0,,Spine and spinal cord
438,00642,1.0,,Spine and spinal cord
439,00643,1.0,,Spine and spinal cord
440,00644,1.0,,Spine and spinal cord
441,00645,1.0,,Spine and spinal cord
442,00646,1.0,,Spine and spinal cord
443,00647,1.0,,Spine and spinal cord
444,00648,1.0,,Spine and spinal cord
445,00649,1.0,,Spine and spinal cord
446,0064T,3.0,,Various Services - Category III Codes
447,00650,1.0,,Spine and spinal cord
448,00651,1.0,,Spine and spinal cord
449,00652,1.0,,Spine and spinal cord
450,00653,1.0,,Spine and spinal cord
451,00654,1.0,,Spine and spinal cord
452,00655,1.0,,Spine and spinal cord
453,00656,1.0,,Spine and spinal cord
454,00657,1.0,,Spine and spinal cord
455,00658,1.0,,Spine and spinal cord
456,00659,1.0,,Spine and spinal cord
457,0065T,3.0,,Various Services - Category III Codes
458,00660,1.0,,Spine and spinal cord
459,00661,1.0,,Spine and spinal cord
460,00662,1.0,,Spine and spinal cord
461,00663,1.0,,Spine and spinal cord
462,00664,1.0,,Spine and spinal cord
463,00665,1.0,,Spine and spinal cord
464,00666,1.0,,Spine and spinal cord
465,00667,1.0,,Spine and spinal cord
466,00668,1.0,,Spine and spinal cord
467,00669,1.0,,Spine and spinal cord
468,0066T,3.0,,Various Services - Category III Codes
469,00670,1.0,,Spine and spinal cord
470,0067T,3.0,,Various Services - Category III Codes
471,0068T,3.0,,Various Services - Category III Codes
472,0069T,3.0,,Various Services - Category III Codes
473,00700,1.0,,Upper abdomen
474,00701,1.0,,Upper abdomen
475,00702,1.0,,Upper abdomen
476,00703,1.0,,Upper abdomen
477,00704,1.0,,Upper abdomen
478,00705,1.0,,Upper abdomen
479,00706,1.0,,Upper abdomen
480,00707,1.0,,Upper abdomen
481,00708,1.0,,Upper abdomen
482,00709,1.0,,Upper abdomen
483,0070T,3.0,,Various Services - Category III Codes
484,00710,1.0,,Upper abdomen
485,00711,1.0,,Upper abdomen
486,00712,1.0,,Upper abdomen
487,00713,1.0,,Upper abdomen
488,00714,1.0,,Upper abdomen
489,00715,1.0,,Upper abdomen
490,00716,1.0,,Upper abdomen
491,00717,1.0,,Upper abdomen
492,00718,1.0,,Upper abdomen
493,00719,1.0,,Upper abdomen
494,0071T,3.0,,Various Services - Category III Codes
495,00720,1.0,,Upper abdomen
496,00721,1.0,,Upper abdomen
497,00722,1.0,,Upper abdomen
498,00723,1.0,,Upper abdomen
499,00724,1.0,,Upper abdomen
500,00725,1.0,,Upper abdomen
501,00726,1.0,,Upper abdomen
502,00727,1.0,,Upper abdomen
503,00728,1.0,,Upper abdomen
504,00729,1.0,,Upper abdomen
505,0072T,3.0,,Various Services - Category III Codes
506,00730,1.0,,Upper abdomen
507,00731,1.0,,Upper abdomen
508,00732,1.0,,Upper abdomen
509,00733,1.0,,Upper abdomen
510,00734,1.0,,Upper abdomen
511,00735,1.0,,Upper abdomen
512,00736,1.0,,Upper abdomen
513,00737,1.0,,Upper abdomen
514,00738,1.0,,Upper abdomen
515,00739,1.0,,Upper abdomen
516,0073T,3.0,,Various Services - Category III Codes
517,00740,1.0,,Upper abdomen
518,00741,1.0,,Upper abdomen
519,00742,1.0,,Upper abdomen
520,00743,1.0,,Upper abdomen
521,00744,1.0,,Upper abdomen
522,00745,1.0,,Upper abdomen
523,00746,1.0,,Upper abdomen
524,00747,1.0,,Upper abdomen
525,00748,1.0,,Upper abdomen
526,00749,1.0,,Upper abdomen
527,0074T,3.0,,Various Services - Category III Codes
528,00750,1.0,,Upper abdomen
529,00751,1.0,,Upper abdomen
530,00752,1.0,,Upper abdomen
531,00753,1.0,,Upper abdomen
532,00754,1.0,,Upper abdomen
533,00755,1.0,,Upper abdomen
534,00756,1.0,,Upper abdomen
535,00757,1.0,,Upper abdomen
536,00758,1.0,,Upper abdomen
537,00759,1.0,,Upper abdomen
538,0075T,3.0,,Various Services - Category III Codes
539,00760,1.0,,Upper abdomen
540,00761,1.0,,Upper abdomen
541,00762,1.0,,Upper abdomen
542,00763,1.0,,Upper abdomen
543,00764,1.0,,Upper abdomen
544,00765,1.0,,Upper abdomen
545,00766,1.0,,Upper abdomen
546,00767,1.0,,Upper abdomen
547,00768,1.0,,Upper abdomen
548,00769,1.0,,Upper abdomen
549,0076T,3.0,,Various Services - Category III Codes
550,00770,1.0,,Upper abdomen
551,00771,1.0,,Upper abdomen
552,00772,1.0,,Upper abdomen
553,00773,1.0,,Upper abdomen
554,00774,1.0,,Upper abdomen
555,00775,1.0,,Upper abdomen
556,00776,1.0,,Upper abdomen
557,00777,1.0,,Upper abdomen
558,00778,1.0,,Upper abdomen
559,00779,1.0,,Upper abdomen
560,0077T,3.0,,Various Services - Category III Codes
561,00780,1.0,,Upper abdomen
562,00781,1.0,,Upper abdomen
563,00782,1.0,,Upper abdomen
564,00783,1.0,,Upper abdomen
565,00784,1.0,,Upper abdomen
566,00785,1.0,,Upper abdomen
567,00786,1.0,,Upper abdomen
568,00787,1.0,,Upper abdomen
569,00788,1.0,,Upper abdomen
570,00789,1.0,,Upper abdomen
571,0078T,3.0,,Various Services - Category III Codes
572,00790,1.0,,Upper abdomen
573,00791,1.0,,Upper abdomen
574,00792,1.0,,Upper abdomen
575,00793,1.0,,Upper abdomen
576,00794,1.0,,Upper abdomen
577,00795,1.0,,Upper abdomen
578,00796,1.0,,Upper abdomen
579,00797,1.0,,Upper abdomen
580,0079T,3.0,,Various Services - Category III Codes
581,00800,1.0,,Lower abdomen
582,00801,1.0,,Lower abdomen
583,00802,1.0,,Lower abdomen
584,00803,1.0,,Lower abdomen
585,00804,1.0,,Lower abdomen
586,00805,1.0,,Lower abdomen
587,00806,1.0,,Lower abdomen
588,00807,1.0,,Lower abdomen
589,00808,1.0,,Lower abdomen
590,00809,1.0,,Lower abdomen
591,0080T,3.0,,Various Services - Category III Codes
592,00810,1.0,,Lower abdomen
593,00811,1.0,,Lower abdomen
594,00812,1.0,,Lower abdomen
595,00813,1.0,,Lower abdomen
596,00814,1.0,,Lower abdomen
597,00815,1.0,,Lower abdomen
598,00816,1.0,,Lower abdomen
599,00817,1.0,,Lower abdomen
600,00818,1.0,,Lower abdomen
601,00819,1.0,,Lower abdomen
602,0081T,3.0,,Various Services - Category III Codes
603,00820,1.0,,Lower abdomen
604,00821,1.0,,Lower abdomen
605,00822,1.0,,Lower abdomen
606,00823,1.0,,Lower abdomen
607,00824,1.0,,Lower abdomen
608,00825,1.0,,Lower abdomen
609,00826,1.0,,Lower abdomen
610,00827,1.0,,Lower abdomen
611,00828,1.0,,Lower abdomen
612,00829,1.0,,Lower abdomen
613,0082T,3.0,,Various Services - Category III Codes
614,00830,1.0,,Lower abdomen
615,00831,1.0,,Lower abdomen
616,00832,1.0,,Lower abdomen
617,00833,1.0,,Lower abdomen
618,00834,1.0,,Lower abdomen
619,00835,1.0,,Lower abdomen
620,00836,1.0,,Lower abdomen
621,00837,1.0,,Lower abdomen
622,00838,1.0,,Lower abdomen
623,00839,1.0,,Lower abdomen
624,0083T,3.0,,Various Services - Category III Codes
625,00840,1.0,,Lower abdomen
626,00841,1.0,,Lower abdomen
627,00842,1.0,,Lower abdomen
628,00843,1.0,,Lower abdomen
629,00844,1.0,,Lower abdomen
630,00845,1.0,,Lower abdomen
631,00846,1.0,,Lower abdomen
632,00847,1.0,,Lower abdomen
633,00848,1.0,,Lower abdomen
634,00849,1.0,,Lower abdomen
635,0084T,3.0,,Various Services - Category III Codes
636,00850,1.0,,Lower abdomen
637,00851,1.0,,Lower abdomen
638,00852,1.0,,Lower abdomen
639,00853,1.0,,Lower abdomen
640,00854,1.0,,Lower abdomen
641,00855,1.0,,Lower abdomen
642,00856,1.0,,Lower abdomen
643,00857,1.0,,Lower abdomen
644,00858,1.0,,Lower abdomen
645,00859,1.0,,Lower abdomen
646,0085T,3.0,,Various Services - Category III Codes
647,00860,1.0,,Lower abdomen
648,00861,1.0,,Lower abdomen
649,00862,1.0,,Lower abdomen
650,00863,1.0,,Lower abdomen
651,00864,1.0,,Lower abdomen
652,00865,1.0,,Lower abdomen
653,00866,1.0,,Lower abdomen
654,00867,1.0,,Lower abdomen
655,00868,1.0,,Lower abdomen
656,00869,1.0,,Lower abdomen
657,0086T,3.0,,Various Services - Category III Codes
658,00870,1.0,,Lower abdomen
659,00871,1.0,,Lower abdomen
660,00872,1.0,,Lower abdomen
661,00873,1.0,,Lower abdomen
662,00874,1.0,,Lower abdomen
663,00875,1.0,,Lower abdomen
664,00876,1.0,,Lower abdomen
665,00877,1.0,,Lower abdomen
666,00878,1.0,,Lower abdomen
667,00879,1.0,,Lower abdomen
668,0087T,3.0,,Various Services - Category III Codes
669,00880,1.0,,Lower abdomen
670,00881,1.0,,Lower abdomen
671,00882,1.0,,Lower abdomen
672,0088T,3.0,,Various Services - Category III Codes
673,0089T,3.0,,Various Services - Category III Codes
674,00902,1.0,,Perineum
675,00903,1.0,,Perineum
676,00904,1.0,,Perineum
677,00905,1.0,,Perineum
678,00906,1.0,,Perineum
679,00907,1.0,,Perineum
680,00908,1.0,,Perineum
681,00909,1.0,,Perineum
682,0090T,3.0,,Various Services - Category III Codes
683,00910,1.0,,Perineum
684,00911,1.0,,Perineum
685,00912,1.0,,Perineum
686,00913,1.0,,Perineum
687,00914,1.0,,Perineum
688,00915,1.0,,Perineum
689,00916,1.0,,Perineum
690,00917,1.0,,Perineum
691,00918,1.0,,Perineum
692,00919,1.0,,Perineum
693,0091T,3.0,,Various Services - Category III Codes
694,00920,1.0,,Perineum
695,00921,1.0,,Perineum
696,00922,1.0,,Perineum
697,00923,1.0,,Perineum
698,00924,1.0,,Perineum
699,00925,1.0,,Perineum
700,00926,1.0,,Perineum
701,00927,1.0,,Perineum
702,00928,1.0,,Perineum
703,00929,1.0,,Perineum
704,0092T,3.0,,Various Services - Category III Codes
705,00930,1.0,,Perineum
706,00931,1.0,,Perineum
707,00932,1.0,,Perineum
708,00933,1.0,,Perineum
709,00934,1.0,,Perineum
710,00935,1.0,,Perineum
711,00936,1.0,,Perineum
712,00937,1.0,,Perineum
713,00938,1.0,,Perineum
714,00939,1.0,,Perineum
715,0093T,3.0,,Various Services - Category III Codes
716,00940,1.0,,Perineum
717,00941,1.0,,Perineum
718,00942,1.0,,Perineum
719,00943,1.0,,Perineum
720,00944,1.0,,Perineum
721,00945,1.0,,Perineum
722,00946,1.0,,Perineum
723,00947,1.0,,Perineum
724,00948,1.0,,Perineum
725,00949,1.0,,Perineum
726,0094T,3.0,,Various Services - Category III Codes
727,00950,1.0,,Perineum
728,00951,1.0,,Perineum
729,00952,1.0,,Perineum
730,0095T,3.0,,Various Services - Category III Codes
731,0096T,3.0,,Various Services - Category III Codes
732,0097T,3.0,,Various Services - Category III Codes
733,0098T,3.0,,Various Services - Category III Codes
734,0099T,3.0,,Various Services - Category III Codes
735,0100T,3.0,,Various Services - Category III Codes
736,0101T,3.0,,Various Services - Category III Codes
737,0102T,3.0,,Various Services - Category III Codes
738,0103T,3.0,,Various Services - Category III Codes
739,0104T,3.0,,Various Services - Category III Codes
740,0105T,3.0,,Various Services - Category III Codes
741,0106T,3.0,,Various Services - Category III Codes
742,0107T,3.0,,Various Services - Category III Codes
743,0108T,3.0,,Various Services - Category III Codes
744,0109T,3.0,,Various Services - Category III Codes
745,0110T,3.0,,Various Services - Category III Codes
746,01112,1.0,,Pelvis (except hip)
747,01113,1.0,,Pelvis (except hip)
748,01114,1.0,,Pelvis (except hip)
749,01115,1.0,,Pelvis (except hip)
750,01116,1.0,,Pelvis (except hip)
751,01117,1.0,,Pelvis (except hip)
752,01118,1.0,,Pelvis (except hip)
753,01119,1.0,,Pelvis (except hip)
754,0111T,3.0,,Various Services - Category III Codes
755,01120,1.0,,Pelvis (except hip)
756,01121,1.0,,Pelvis (except hip)
757,01122,1.0,,Pelvis (except hip)
758,01123,1.0,,Pelvis (except hip)
759,01124,1.0,,Pelvis (except hip)
760,01125,1.0,,Pelvis (except hip)
761,01126,1.0,,Pelvis (except hip)
762,01127,1.0,,Pelvis (except hip)
763,01128,1.0,,Pelvis (except hip)
764,01129,1.0,,Pelvis (except hip)
765,0112T,3.0,,Various Services - Category III Codes
766,01130,1.0,,Pelvis (except hip)
767,01131,1.0,,Pelvis (except hip)
768,01132,1.0,,Pelvis (except hip)
769,01133,1.0,,Pelvis (except hip)
770,01134,1.0,,Pelvis (except hip)
771,01135,1.0,,Pelvis (except hip)
772,01136,1.0,,Pelvis (except hip)
773,01137,1.0,,Pelvis (except hip)
774,01138,1.0,,Pelvis (except hip)
775,01139,1.0,,Pelvis (except hip)
776,0113T,3.0,,Various Services - Category III Codes
777,01140,1.0,,Pelvis (except hip)
778,01141,1.0,,Pelvis (except hip)
779,01142,1.0,,Pelvis (except hip)
780,01143,1.0,,Pelvis (except hip)
781,01144,1.0,,Pelvis (except hip)
782,01145,1.0,,Pelvis (except hip)
783,01146,1.0,,Pelvis (except hip)
784,01147,1.0,,Pelvis (except hip)
785,01148,1.0,,Pelvis (except hip)
786,01149,1.0,,Pelvis (except hip)
787,0114T,3.0,,Various Services - Category III Codes
788,01150,1.0,,Pelvis (except hip)
789,01151,1.0,,Pelvis (except hip)
790,01152,1.0,,Pelvis (except hip)
791,01153,1.0,,Pelvis (except hip)
792,01154,1.0,,Pelvis (except hip)
793,01155,1.0,,Pelvis (except hip)
794,01156,1.0,,Pelvis (except hip)
795,01157,1.0,,Pelvis (except hip)
796,01158,1.0,,Pelvis (except hip)
797,01159,1.0,,Pelvis (except hip)
798,0115T,3.0,,Various Services - Category III Codes
799,01160,1.0,,Pelvis (except hip)
